Sweden,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Hungary,,656.198734474,679.886685552,834.58521115,1058.26505004,1005.22718134,728.395781132,779.593364101,768.186823035,843.111079885,596.151839874,725.93173338,768.698593282
,,,,Ireland,,2156.08155613,2492.91784703,1530.07288711,-604.722885738,376.960193004,145.679156226,-311.837345641,2176.52933193,1967.2591864,2086.53143956,2758.54058684,3074.79437313
,,,,Italy,,1499.88282165,2266.28895184,3755.63345018,3779.51803586,2638.72135103,4370.37468679,4521.64151179,4609.12093821,5199.18499262,4918.25267896,4936.33578698,4612.19155969
,,,,Latvia,,468.713381767,793.201133144,556.390140767,604.722885738,628.266988339,1165.43324981,1403.26805538,1664.40478324,1264.66661983,1341.34163972,3048.9132802,2767.31493581
,,,,Lithuania,,468.713381767,566.57223796,973.682746342,1058.26505004,1005.22718134,1311.11240604,1871.02407384,1920.46705759,1545.70364646,1937.49347959,2903.72693352,3382.27381044
,,,,Luxembourg,,..,906.515580737,3755.63345018,7861.39751459,4397.86891838,11217.2950294,13564.9245354,10242.4909738,8993.1848521,9687.46739795,16260.8708277,19217.464832
,,,,Netherlands,,9374.26763534,14390.9348442,16830.8017582,22979.469658,18094.0892642,21997.5525902,31183.7345641,35720.6872711,35129.6283285,36365.2622323,32812.1143488,32592.8203551
,,,,Poland,,1499.88282165,2039.66005666,2503.75563345,2116.53010008,2010.45436269,2330.86649962,4209.80416615,4096.99638952,4075.03688611,4322.10083908,4355.59040028,8148.20508878
,,,,Portugal,,562.45605812,566.57223796,..,453.542164303,502.613590671,437.037468679,779.593364101,1152.28023455,702.592566571,1043.26571978,725.93173338,768.698593282
,,,,Spain,,1687.36817436,2152.97450425,2503.75563345,3779.51803586,4020.90872537,5390.12878037,6080.82823999,6785.65027015,5620.74053257,5365.36655886,5371.89482701,5073.41071566
