France,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Finland,,106.637055055,260.07747792,505.199768619,898.986596927,1047.5737696,1455.28584843,1682.60950211,1972.03797669,2335.21331691,2326.32407391,1775.23138174,1822.09204138
,,,,Germany,,26898.9768131,41929.1037185,53868.1883284,79752.3700556,75816.9718748,93283.1643841,104692.758155,102409.588252,110975.214469,101263.911511,91932.9190264,87302.0899303
,,,,Greece,,623.958966766,759.258443604,1271.8404175,1569.14024191,1114.81668049,2321.87235365,3318.11182655,3374.87091989,6183.0570982,5593.33289684,6836.96984048,7628.77348533
,,,,Hungary,,1196.80265094,2115.22690711,1908.39212596,2932.60324725,2898.52336927,3733.69717675,3993.80540614,4727.60268654,5060.82935367,4817.00073892,4099.07654327,4410.75575259
,,,,Ireland,,4052.20809208,8307.79750032,12094.4824607,15375.3950093,22318.7479134,22349.5030298,26447.7360585,30892.9421359,32615.1940129,32623.3212318,32790.0245453,34805.7842516
,,,,Italy,,16304.8938477,18786.4029817,26909.4656755,30813.4466601,34492.0741843,44215.6667777,59377.1253434,61746.9166901,65887.3018274,59925.894352,58493.3564683,58839.9831117
,,,,Latvia,,0.881297975659,3.14609852322,2.52599884309,12.2589081399,17.6955028649,18.4380107494,33.8582839444,61.2347713299,37.4556114989,101.551194496,103.512033921,105.552037154
,,,,Lithuania,,2.64389392698,24.120088678,51.7829762834,194.780429334,227.682136862,829.710483721,522.595252185,673.582484629,599.289783982,521.117971755,432.16274162,435.402153262
,,,,Luxembourg,,8961.0378165,9427.80857459,15190.0940429,21474.8828593,16781.2352169,25910.6731059,44267.4981084,66736.1588541,84535.8745525,75286.8487195,73052.3240392,74320.5087608
,,,,Netherlands,,38153.1519622,48694.2642429,77990.2142805,102235.207584,98461.3170409,121781.743999,186155.789325,167392.205927,170114.743825,166137.754195,171293.007633,185303.198227
,,,,Poland,,7926.39399307,4321.6906714,4688.25385278,9403.94464422,9490.68803654,11231.3825479,17308.9435921,17874.9864309,19000.079233,19493.8207434,19148.4323749,20628.8262613
,,,,Portugal,,1788.15359261,2488.56393187,3814.25825307,4195.27078566,3921.32343486,6399.3067308,7491.51334752,7245.1868078,8123.54589393,7071.17001674,5950.64805003,6045.49292801
,,,,Romania,,602.80781535,998.361931369,1452.44933478,1943.71799063,1994.87302297,2469.37643965,4183.70621609,4786.05405917,6002.98204292,5793.76288598,5024.21534644,4748.52227148
,,,,Slovakia,,126.906908495,1730.35418777,2268.3469611,730.086084777,1386.14772442,1976.81815248,2091.85310804,2015.18065649,1941.92939617,1722.36170665,1737.70826945,1638.69537682
,,,,Slovenia,,369.263851801,330.340344938,444.575796384,595.238095238,604.006497789,808.638471436,906.813169989,963.055949097,921.984283049,761.633958719,687.06112515,694.00464429
,,,,Spain,,14529.0784267,20356.3061447,24183.9129238,30214.1222622,37356.386248,39857.711237,51638.2993131,53840.6726918,57458.3486397,60837.1827026,52741.9690835,50230.8950813
,,,,Sweden,,4293.68373741,4997.05315438,6808.82988156,7005.28495151,5401.84717456,8305.00684182,8168.67902641,8468.49053505,11948.3400681,12648.4685145,9085.76877741,7045.59848005
,,,,United Kingdom,,64573.5839745,87957.5738127,106192.991364,128292.197886,133891.252877,163617.590389,177115.627512,142608.823931,170214.145256,166128.400796,159184.687465,165877.665189
,,,Other developed Europe,,,19281.9184094,23094.4605595,33804.1795177,37450.9643674,37186.5094205,55836.8815529,59584.6913449,64243.6253211,70458.3270307,76176.7580312,68285.5949172,75172.8415008
,,,,Jersey,,51.9965805639,351.314335093,373.847828778,483.545821074,609.904998744,700.644408476,1866.62191485,3007.46229191,3203.8953836,2634.98625718,2574.86184378,2580.74730842
,,,,Norway,,1298.15191815,3761.68513426,4842.33978221,5764.41102757,6078.99508419,7152.63116998,8293.80746708,7601.461841,8928.84154115,9348.05469334,6646.76647815,8384.78995145
,,,,Switzerland,,17931.7699107,18900.711228,28408.6459888,31173.0412989,30445.7025292,47920.3899376,49328.5755084,53634.7011882,58325.590106,64193.7169207,59063.9665553,64207.304201
,,North America,,,,170235.923468,159972.817709,186379.561638,185919.962951,187680.862786,202052.940797,236815.142602,242194.654204,242281.62298,244834.58513,257354.206535,263294.27908
,,,Canada,,,31085.1421974,22655.0554657,29669.1194115,23902.146671,24707.6408002,19103.0961371,17381.0764579,9495.56465418,11265.4954585,13484.9296691,15411.6479504,21722.6092464
,,,United States,,,139150.781271,137317.762243,156710.442227,162017.81628,162973.221985,182949.84466,219434.066144,232699.08955,231016.127522,231349.655461,241942.558585,241571.669833
,,Other developed countries,,,,11420.7404666,16145.7776212,20910.2184231,26624.986379,25035.5974533,31041.7080973,30160.370498,37457.5879624,55062.6301042,57755.9056696,51607.2184117,55367.3210893
,,,Australia,,,2146.8418687,2840.92696647,4108.53711829,5679.96077149,5537.51269652,6841.81898878,8466.0430854,11366.0085784,14583.198277,15185.9121769,9080.59317571,9640.85919358
,,,Bermuda,,,1097.21597969,1441.96182314,1356.46137874,1461.53427046,1375.5304227,1634.39795285,2549.67599094,3610.06810977,7220.28941663,8065.30276286,7731.05503347,7412.39180916
,,,Israel,,,200.054640474,291.538463152,500.147770932,518.96044459,784.500627011,1064.13662039,1505.95758587,2001.26366301,1882.86477804,2092.48908659,2150.46250471,2241.66138906
,,,Japan,,,7701.66300928,11169.6984569,14495.4443611,18534.1070066,17185.8723824,21291.9514132,17360.4670677,20218.6081336,31033.4147273,32020.6950645,32311.2813884,35702.9765674
,,,New Zealand,,,274.964968405,401.651911465,449.62779407,430.423885801,152.181324638,209.403122082,278.226768065,261.6394775,342.862905259,391.50657878,333.826309395,369.43213004
,Developing economies,,,,,35817.7123267,41192.916664,47707.2771501,54005.9387599,59513.5152352,79682.4974549,112440.416781,120855.171416,149318.235841,170785.057527,182733.675284,195219.812111
,,Africa,,,,6235.18317778,8371.76817029,11407.4107754,12760.1612727,16104.0873073,23112.0464743,35384.8509205,39126.2354811,50837.3490071,55791.6915912,53035.6843828,57983.6922103
,,,North Africa,,,2530.20648812,3344.30273018,4416.70897715,5109.24049254,8052.63350372,11148.4114995,14866.7308502,18831.0838833,25039.076287,24866.6806722,21659.8931179,23356.0270213
,,,,Algeria,,133.075994324,101.723852251,212.18390282,231.557153754,440.028171241,688.791401565,1280.72639268,1571.22856435,2388.51553327,2494.68526479,2569.68624209,2719.28435719
,,,,Egypt,,377.195533582,487.645271099,531.722756471,685.136754931,878.87664229,1054.91761502,1856.31721973,2723.55562483,6194.58190174,6464.53524962,4999.63123838,5893.7618746
,,,,Libya,,,250.63918235,37.8899826464,65.3808434129,394.019863792,783.615456848,958.336645557,1315.15588424,1201.46076885,1262.70893156,662.477017094,666.297234537
,,,,Morocco,,1621.58827521,2133.05479874,3065.29959609,3395.71755476,5923.27465898,7844.05657308,10086.8244168,11939.38871,13818.2394422,13388.7232743,12271.3516213,12893.1813384
,,,,Tunisia,,398.346684998,371.23962574,569.612739117,731.448185682,416.434167421,777.030453009,684.526175398,1281.75509988,1436.27864094,1257.36413185,1156.74697907,1183.50221659
