Finland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Greece,,44.9461967586,28.7553405022,51.1767365611,63.0652718753,66.0042256861,68.1021097035,62.50533636,38.870162801,34.7616886718,32.6300022315,22.5526843905,18.0757863627
,,,,Hungary,,213.274110109,367.327976576,780.116852706,1000.28604119,1226.10959651,687.658780905,957.556432927,1224.80676255,1307.21524732,1379.77340722,307.17196066,157.853071564
,,,,Ireland,,528.778785395,270.931517825,297.587923705,-151.002506266,-224.909841413,-208.349521468,203.31163459,112.491058332,162.254827812,166.717664964,237.417788802,14641.8487439
,,,,Italy,,1044.33810116,558.977811616,372.395379443,397.338454833,266.2111451,474.765606788,870.275665315,591.708811962,683.708969899,617.551520529,474.059237349,479.945112941
,,,,Latvia,,140.12637813,108.236276194,178.183958392,345.864661654,421.931570311,383.484283571,460.01631086,515.708110545,391.670448243,312.91129904,476.051844002,379.697065653
,,,,Lithuania,,106.637055055,172.364251092,305.570080049,293.546365915,321.008218971,476.34600771,497.540122066,503.697745169,423.839056119,534.119197051,433.521337065,384.908697488
,,,,Luxembourg,,1197.68394892,1452.84732403,1757.46369508,2298.65424431,6464.66267063,1592.38562836,3513.12082108,3280.94513086,3131.72130144,3097.8459121,4076.00629871,1825.2849905
,,,,Malta,,,,,,,,,22.7774782391,,,,439.034927407
,,,,Netherlands,,9042.99852823,8465.0604785,10220.1660592,12719.2982456,14514.4177059,17100.4911096,24406.3759565,23009.1044971,20874.6893705,20972.2725153,21618.4106504,32358.6262402
,,,,Poland,,324.317655042,361.706947215,566.897290361,594.407213686,1065.65857353,1220.46461153,1625.74230607,1560.48464538,1551.1377142,1647.37416671,1712.98183234,1729.2590247
,,,,Portugal,,-1.76259595132,41.5599614918,-70.6269276529,-7.73673313719,7.98657029303,46.4901271037,40.8065926495,41.4169726086,19.5777600104,-28.0201124813,42.3364218736,13.6953768208
,,,,Romania,,6.16908582961,3.250968474,20.751080496,20.1590933856,20.2790462832,37.9823021437,92.3889521892,206.486432323,242.611520482,336.749105748,267.902082792,282.800295546
,,,,Slovakia,,31.7267271237,,,7.24637681159,18.1673829413,113.32791607,151.464297176,139.211685821,155.988215888,161.546571244,167.922397028,151.1373232
,,,,Slovenia,,,,,8.96262395118,13.4839731831,9.75897568948,44.8107027508,21.5435059133,12.6772838919,15.9675891346,15.1386349609,45.6908380832
,,,,Spain,,246.763433184,735.788548621,1001.14175148,838.686389888,432.725827058,521.519134046,737.035957498,703.893696437,990.888202203,1039.36311367,1038.18688321,1012.13848427
,,,,Sweden,,13099.6131102,18976.0393136,28530.7906629,29515.3781192,23404.5675632,25613.6104127,24328.7521603,19599.7751014,31373.2379656,33986.3654159,33562.4830984,38757.5997467
,,,,United Kingdom,,1845.43796103,1841.90435441,2290.6010109,2060.8450474,2184.39185865,1980.7823248,1621.54682306,1576.85102972,1518.8826703,1419.52535506,1851.89498187,2980.9742453
,,,Other developed Europe,,,5939.06705796,9683.49200157,9606.58831018,1799.26718971,1567.71538081,1242.08976414,1368.16909121,1224.43100372,2498.7070611,1072.86164585,1883.94489537,2100.07652523
,,,,Guernsey,,,,,,,,,,,,,-94.1524171417
,,,,Iceland,,,,,,,,,,,,,12.5474984167
,,,,Norway,,3727.00913906,4331.51698579,1495.8586249,1799.26718971,1567.71538081,1242.08976414,1368.16909121,1224.43100372,1192.71632416,1438.24551605,2866.27409728,2669.45060165
,,,,Switzerland,,2212.0579189,5351.97501578,8110.72968529,,,,,,1305.99073694,-365.383870196,-982.329201909,-487.769157695
,,North America,,,,6522.48631785,6747.82552157,5291.09610668,7533.34423014,8876.38275609,8538.48473794,7202.84939541,13922.0314357,13660.1623557,12814.4913555,11491.9189449,14911.1647667
,,,Canada,,,157.752337643,619.288520306,480.634429869,1118.76157786,1912.49455863,1824.38848362,1617.10108317,1646.79783897,1923.18718442,2040.48418541,2050.0428928,1997.7174372
,,,United States,,,6364.73398021,6128.53700126,4810.46167681,6414.58265228,6963.88819745,6714.09625432,5585.74831224,12275.4145177,11736.6870512,10774.00717,9441.8760521,12913.4473295
