Germany,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Finland,,997.629308445,1498.59159656,2498.21285582,3266.31796884,2810.04585495,3812.71722281,7974.36191856,7103.23347427,7885.84682095,11155.9331953,8348.24553572,..
,,,,France,,37055.9359825,43456.0102017,44260.5517287,52869.9466056,46435.3589179,52947.3818683,65820.5039879,65969.3325132,67435.9473028,63077.9899812,60874.1332485,..
,,,,Greece,,1232.93586795,1366.45545859,1741.67620231,2252.91489594,1987.79482182,2412.74540663,3014.85937035,4908.52360183,5667.32213987,4678.03594645,4334.56642044,..
,,,,Hungary,,7237.21897611,9782.2690082,12454.4372959,16692.5465839,16586.5846854,20439.8519164,25493.8157108,22997.8317324,24570.8811433,22695.3557699,22490.5771702,..
,,,,Ireland,,7199.32316315,8832.14725419,10923.681997,12781.9548872,10985.3681785,11982.0729855,15747.0462328,9075.27145096,12394.9262052,19427.0107471,19303.7004258,..
,,,,Italy,,16315.4694234,21382.9829628,37648.7497569,30724.9101013,38199.8718846,35672.2827969,42687.9355574,44858.6450972,49389.5455626,48047.0769958,46896.1269679,..
,,,,Latvia,,268.795882576,254.833980381,270.281876211,374.57774872,287.846846602,537.336313267,677.165678888,642.965098964,655.47320123,609.307166976,575.785688685,..
,,,,Lithuania,,159.514933594,245.395684811,431.945802169,520.322545494,604.006497789,736.203429207,1193.87253387,1944.20398972,1234.59457902,1219.95053388,1168.39208288,..
,,,,Luxembourg,,25180.4457605,27105.7361766,34367.4772597,46530.7289964,48703.9223852,56937.8941948,58273.0508669,77031.9506336,66064.4956818,61624.20446,64731.2504124,..
,,,,Malta,,164.802721448,213.934699579,234.917892408,290.127492645,2940.99257615,25499.7688664,36219.5312247,37843.0886819,36452.9535911,38320.877723,24329.2096727,..
,,,,Netherlands,,32890.9217496,41398.4617676,52963.8807425,65378.1192111,45601.3108829,53737.582329,61034.7091573,76324.9673647,85794.9593391,87946.0068333,105923.864311,..
,,,,Poland,,8380.26245054,9580.91870272,10010.5334152,13597.853329,14898.4337121,20337.1258565,27999.3287227,26460.3797113,29666.2849075,31587.7662879,27887.4358387,..
,,,,Portugal,,3234.36357067,3586.55231647,4641.52287418,7046.14797864,6135.62069336,7473.97935733,7338.41502012,7877.01831198,7110.80378302,6531.345246,5847.13601611,..
,,,,Romania,,650.397906036,876.712788471,1170.80046377,1713.52293778,2690.89613566,4459.36459981,6877.64793862,7163.07654625,7872.88141697,7676.46858394,8751.94246801,8050.98163395
,,,,Slovakia,,1863.06392054,3330.66963658,4085.8031287,5293.12411463,5274.43955393,7708.405494,10294.3904184,12334.6313249,13161.3256405,12028.4717481,11342.3311169,..
,,,,Slovenia,,394.821493095,451.989487836,457.2057906,578.892884385,747.92992109,985.116574323,1377.88494661,1574.01196305,1577.45748428,1558.00911556,1526.80250033,..
,,,,Spain,,13240.6207863,18455.0139372,23251.8193507,24467.4185464,21943.6032527,25219.2477028,29827.6760557,34933.0453443,41240.0688607,37083.5565901,35553.795851,..
,,,,Sweden,,5754.87578105,9534.77592438,12403.917319,21617.9034543,19145.3543996,13334.6327741,16733.352765,29620.9289315,23533.6488248,26852.2737446,33676.3463357,32624.8152839
,,,,United Kingdom,,54809.6837022,66517.9610765,89213.2271403,99373.433584,113904.772241,141607.873557,176300.084498,138723.19935,142890.276667,152098.301556,151546.793262,185824.36141
,,,Other developed Europe,,,17685.0064775,17898.1544986,26080.9380549,28713.0870655,29777.9922211,35796.0808691,56076.6787084,63641.0195033,65312.5022509,68070.0329106,63829.4018169,57327.9502194
,,,,Guernsey,,,,776.744644251,626.56641604,382.222861882,881.073513666,518.17895428,475.961177155,713.097218921,954.046748291,938.077807408,..
,,,,Iceland,,0.881297975659,,,,,,,,,,,13.1940046443
,,,,Isle of Man,,,,237.443891251,371.853546911,153.361024829,510.996297911,250.256881328,430.035098658,511.413157004,487.712973566,546.025978933,..
,,,,Jersey,,,,3882.46022183,3153.26359377,3106.15060289,2319.23835212,5196.51053581,7362.08955307,3189.48937917,2214.08328,2402.77308739,..
,,,,Liechtenstein,,242.356943306,307.268955768,389.003821836,438.596491228,410.535666466,381.930222665,465.18337941,446.735490838,468.195143736,494.393973204,436.044442892,525.121384843
,,,,Norway,,1345.74200883,1692.60100549,1921.02212017,2146.67102539,2961.04747939,3633.60511839,5707.32899358,5095.01131452,7096.39777859,8983.27211311,9415.71338553,10180.4939835
,,,,Switzerland,,16082.8067578,15898.2845373,18874.2633556,21976.1359922,22764.6745856,28069.2373644,43939.219964,49831.186869,53333.9095735,54936.5238224,50090.7671147,46609.1408064
,,North America,,,,259427.685095,266483.983212,280748.352417,288234.172387,285446.156714,287118.02039,319551.539669,306548.223774,333748.226261,336527.29656,346014.851389,247296.548448
,,,Canada,,,6043.06021909,5896.83733202,7628.51650614,7734.00893538,9359.74131534,10917.9363652,13976.1107725,12054.8997559,15463.4051473,17739.3902385,17529.7629445,18173.421997
,,,United States,,,253384.624876,260587.14588,273119.835911,280500.163452,276086.415398,276200.084025,305575.428896,294493.324018,318284.821113,318787.906322,328485.088445,229123.126451
,,Other developed countries,,,,16310.1816355,18917.4904201,26084.7270532,27247.4664923,21410.3787663,24737.2254218,32623.1926301,37333.7267203,38956.7171597,48339.70478,44695.2023466,30528.287956
,,,Australia,,,5559.22763045,6387.62870165,8321.90318857,9467.96338673,8602.37379272,10168.5629283,15579.2269123,16150.6709383,19592.1660148,24118.4086928,22736.4182507,16373.7597636
,,,Bermuda,,,2361.87857476,1824.73714347,1577.48627751,2402.74599542,1797.86309107,1698.93099048,2016.77604364,1777.20006791,2070.14283553,1749.0857052,1736.41436902,..
,,,Israel,,,224.730983793,156.256226653,164.189924801,162.090007628,67.2429108866,85.6050499077,269.394172253,409.159608431,504.210154793,1170.51113656,804.806063735,919.622123707
,,,Japan,,,7865.58443275,9462.41565834,11351.8388009,12140.4053612,10376.64288,12146.6980815,14129.2090999,18412.1823794,16790.1981546,21301.6992454,19417.5636631,12484.1671944
