Austria,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,France,,466.206629123,619.782709006,870.206601445,653.808434129,1001.56546215,1563.27991139,2916.22871712,2585.77738934,2914.3346947,2661.71025574,2520.51802597,2901.36162128
,,,,Germany,,5008.41639567,7684.88611099,9030.44586406,10537.2125967,8522.15417974,14630.5615296,20217.8118127,21125.9961088,23844.8185204,25637.6680104,26134.2007642,28384.2621913
,,,,Greece,,10.5755757079,17.8279290239,31.5749855387,32.6904217064,109.712117762,309.495180436,373.91322269,704.199870294,824.023452975,440.945976101,583.549091229,641.228625712
,,,,Hungary,,2400.65568569,3595.99815428,4361.1370026,5396.64378337,4640.94055137,7630.7024487,10936.225714,9014.03667963,9971.83626135,10152.4470497,8911.09222016,10002.3749208
,,,,Ireland,,38.777110929,35.6558580477,68.2019687635,59.9324397951,153.361024829,304.227177364,222.286994592,308.957255346,133.975841131,92.1977950029,119.038839009,106.871437619
,,,,Italy,,534.947871225,1245.85762826,834.842617642,1386.61872071,1278.79500704,3990.51232647,4319.13935186,3857.79059378,4631.53042188,4055.3667802,3942.51459196,5185.24382521
,,,,Latvia,,,,,5.99324397951,,71.1180414618,209.038100874,229.630392487,181.515655725,195.085189426,218.669171658,220.33987756
,,,,Lithuania,,,,,6.12945406996,,43.4610253378,66.2444685869,61.2347713299,43.2180132679,34.741198117,64.6950212006,62.0118218282
,,,,Luxembourg,,59.0469643691,120.600696338,188.18691381,205.67723657,271.331043928,404.319235718,1023.10901484,821.10261556,1127.99014629,1289.43293011,1907.20922499,8057.57863627
,,,,Malta,,432.717306048,540.081379252,1317.30839667,1486.05208674,1317.72511334,1485.57686609,1767.99126162,1853.74353208,1794.98815106,1417.70812316,1302.95772698,1494.8807262
