Poland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,France,,23.4125268681,143.576389231,179.449761381,190.288078418,158.59343248,235.479737285,319.151128659,433.5,538.3,420.026314902,1008.36893545,1389.95354239
,,,,Germany,,36.929948041,28.4453583871,229.009674398,380.303342386,292.095963702,418.937944241,816.867902641,837.5,1068.2,2088.32360582,2243.51846433,2578.65531036
,,,,Greece,,,,,,-0.710119846927,,-1.32488937174,8.0,3.0,15.6202557269,12.8752853046,13.0016776358
,,,,Hungary,,3.88736295168,1.14196694255,14.1239446765,37.7848012342,62.9639597608,150.533187761,296.628009339,288.9,317.8,539.894065652,491.162872359,636.630532972
,,,,Ireland,,,,68.854230298,,7.45625839273,8.16540476043,49.6097464751,108.6,163.2,312.405114537,427.488734125,526.971222093
,,,,Italy,,1.50193568588,,1.76549308456,-3.68299506615,-5.44425215977,27.2619158937,10.3046951135,69.7,64.4,468.270301272,544.12711418,470.286488579
,,,,Latvia,,,,2.77434627574,4.50143841418,11.5986241665,20.2818118243,10.1574851833,2.5,10.4,18.7240646402,30.4032305261,37.0692992644
,,,,Lithuania,,20.3203063383,23.2545995574,36.9492481269,45.6964202652,68.6449185362,757.407141568,1151.6232839,1052.6,1233.8,2178.09790493,2469.59676947,2474.73867596
,,,,Luxembourg,,103.103467378,88.8657911656,63.3055377465,124.130574452,185.22292674,3554.45337225,4105.83216301,4760.1,5878.1,9029.58739584,11762.7728683,12492.7409988
,,,,Malta,,0.706793263942,1.03815176595,3.15266622243,5.31988176222,4.61577900502,9.87750575859,11.6295844853,37.9,36.8,186.2285348,191.461344882,196.864111498
