Italy,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Hungary,,,,,,,,1410.38889919,2504.41864543,1641.99638409,620.638142361,1873.99480111,2683.76609669
,,,,Ireland,,,,,,,,15705.8716153,11925.3047126,14406.2781367,14262.010099,11222.7488397,13547.8942369
,,,,Latvia,,,,,,,,22.0520475429,280.232580795,20.9319244261,29.8774303806,34.974128461,31.2170149884
,,,,Lithuania,,,,,,,,18.4306832602,18.8992771514,85.3411701997,17.9451650274,30.6007450279,
,,,,Luxembourg,,20438.1813535,24341.3642742,21954.7189447,26788.4384875,25134.6922693,22623.4391895,61479.1506576,15521.4558289,3110.38600889,14942.9108581,32162.2111206,11113.0198438
,,,,Malta,,,,,,,,337.743742842,213.458846059,423.824650114,394.579838614,443.562004355,693.595630146
,,,,Netherlands,,29126.8980955,32237.0228679,48898.2856046,64288.4384875,65029.7933283,89786.5273455,104840.880786,98277.6746374,100302.655747,101125.561371,101964.96894,101860.433819
,,,,Poland,,,,,,,,10507.0351626,10549.6516577,13903.4077403,14620.2720236,13185.725173,15757.2303145
,,,,Portugal,,,,,,,,10796.0376975,6386.5918118,9985.42112352,8780.78437608,8210.89800571,5966.43445218
,,,,Romania,,,,,,,,3292.9242075,4185.84196419,4787.92200589,4480.49214916,4849.07298504,4749.53820984
,,,,Slovakia,,,,,,,,549.107760613,1838.78276408,2538.00664117,3223.98318526,4332.39266773,3886.99335022
,,,,Slovenia,,,,,,,,976.472908957,923.476019629,1550.61909804,1236.85346296,1376.60653911,1634.89550348
,,,,Spain,,6199.04996078,7158.42283984,9961.27643774,11057.5351422,9858.75449613,12345.5651975,45943.0268128,46238.9046769,60906.0656482,43753.7330085,39515.2919622,44796.7463585
