Portugal,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Germany,,274.908565335,296.859564454,229.361957952,233.472267626,255.65400809,418.394022924,699.989106465,1489.55947149,1023.22824153,1012.9598031,2442.71320568,2821.22387587
,,,,Greece,,88.1201032881,157.982386043,189.587580169,205.946932549,624.287903472,718.625419959,7.96700142205,14.8174229625,10.0856436963,7.25556560675,,
,,,,Hungary,,11.766209273,4.81248204102,13.3031729071,29.8095782936,97.8844436475,52.0465533431,149.019140235,598.33330086,357.531098962,392.9897607,487.623195494,582.050876082
,,,,Ireland,,789.271959742,893.834905334,1082.06717641,1114.21760924,1761.80319534,1988.07850905,2055.95743866,1278.71562851,1688.85479468,1453.67862521,1578.76942306,1462.34431075
,,,,Italy,,428.094016868,198.093044815,193.175761526,167.328647706,170.734469542,259.139656078,225.633076305,470.497365513,1391.13742608,1315.10133072,1441.89804841,1519.14582014
,,,,Latvia,,,,,,,,,,,0.85516795365,,
,,,,Luxembourg,,275.477002529,335.068931019,366.79145101,432.473847663,432.318830492,667.843187353,1156.14262876,1714.98136515,1882.93968926,2598.08041518,3831.21974699,2260.17257758
,,,,Malta,,,,,1.36210090444,1.17970019099,1.31700076781,44.1629790579,180.920915293,-63.3864194596,271.435653288,,
,,,,Netherlands,,2040.90456424,7223.43696582,8820.7475441,10503.9037812,9734.74323235,13673.0269024,17741.3300712,16471.6552594,17651.0159835,15640.2067903,27044.2281043,33204.553251
,,,,Poland,,459.187090747,421.77330892,326.905929277,518.655333987,743.634632694,1689.42487893,2961.13216213,1014.02415433,1220.03731155,2166.82188856,1807.4443267,1534.63953979
,,,,Romania,,7.57123090888,8.74825129357,3.80036525943,8.56625258799,13.0793360175,53.2687300557,222.937662483,81.131896914,599.075134516,512.900342201,,
,,,,Slovakia,,,,,,1.17970019099,,8.83259581158,16.7003921809,18.7278057494,5.31807571176,,
,,,,Slovenia,,,,,,,,,1.39169934841,,,,
,,,,Spain,,5310.90253726,4399.32694466,5735.76410202,7768.46055356,7285.82248107,8945.73166636,11213.4308452,10058.2481845,10609.3293285,8595.62715212,8172.20003183,9638.67822461
,,,,Sweden,,0.650397906036,1.12210847328,1.60148326652,1.95189059606,2.08099113691,2.34821236901,1.6796653035,11.5204872061,10.6777304781,,,
,,,,United Kingdom,,831.169746803,405.763862234,504.823394791,654.312411463,415.410187655,750.619319611,1499.09613103,1126.03090129,1186.14574555,1432.20589237,1500.50138641,1405.92146928
,,,Other developed Europe,,,102.581321771,163.876077277,189.630522149,418.140459845,373.710145304,475.301626101,936.311095801,293.000030617,545.843507574,216.223872281,88.7343971783,100.633312223
,,,,Andorra,,,,,,,,,,,2.49869386457,,
,,,,Gibraltar,,35.986921538,46.4993361732,54.6979789483,,,,,,,130.680352917,,
,,,,Guernsey,,,,,,,,,,,-11.384423383,,
,,,,Isle of Man,,3.26961548969,,,,,,,,,5.26462771466,,
,,,,Jersey,,32.5604350087,40.8615276196,53.8277723469,,,,,,,4.58316575159,,
,,,,Liechtenstein,,6.51191074214,7.54119816016,5.00905570585,,,,,,,3.14006982981,,
