Switzerland,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Germany,,16472.84326,19951.6152293,21316.1128628,21551.3432308,29996.4239519,34828.2389576,41048.6006219,52165.2721632,57522.2707424,61375.5853555,62780.316718,56164.5210561
,,,,Greece,,1085.73302331,1264.34958177,1672.97275447,1738.60021209,1749.14403104,2259.36245186,4132.1190582,3963.147504,3078.8937409,2863.66538953,2120.5229036,2109.9716343
,,,,Hungary,,731.890538365,476.204211134,638.370118846,934.517497349,1547.97230465,1684.91354585,1655.44202577,1981.66776347,1680.83454634,11738.5057471,16491.8694867,17779.8385337
,,,,Ireland,,6113.69462827,4628.13671762,5395.98997494,5306.29197596,7376.85459941,16038.0234369,10448.2452243,6982.41985522,7265.98738476,19840.357599,18297.90626,22531.8568623
,,,,Italy,,5263.39951112,7238.60686472,7159.02659875,9179.48038176,9594.76527429,11849.2993526,20167.0368725,20627.2445238,21418.7287724,27586.8454662,26735.9974493,28035.7844207
,,,,Luxembourg,,14607.6432362,13058.1194116,16864.2574177,19692.2057264,14473.0274671,19709.4976645,28031.7192359,26040.5189433,70350.5094614,82381.4389102,109181.634605,108441.959415
,,,,Netherlands,,10638.824301,14391.5488895,14700.7842186,18042.0643337,26159.0960968,25605.7526838,32490.8040871,32302.7169315,39393.207181,60554.1719881,82819.1093634,66498.9090116
,,,,Poland,,1472.24706373,1655.32160369,1587.59802733,2280.48780488,2640.1886936,3396.21404573,4874.72234562,4876.93898656,5246.09412906,5902.93742018,5583.05877351,6468.36133537
,,,,Portugal,,1085.85226256,1465.09950966,1374.64629315,1838.45881937,1704.55755916,3611.325084,3376.18836073,3306.10134436,2884.32799612,2394.52958706,1946.11542141,1817.91403011
,,,,Romania,,160.078697907,196.711854629,283.531409168,362.495581478,647.94947881,1054.98647873,1570.85739671,2129.73582777,2058.03008248,2426.56449553,2801.99808694,3166.26663757
,,,,Slovakia,,98.9089608299,129.578886646,138.814778883,265.111346766,290.801186944,445.218388921,514.260328743,604.963805584,603.299369238,700.830140485,837.708576894,920.46694305
,,,,Spain,,3820.48530376,5603.25930199,7133.55970572,7247.43725698,8957.16350909,9997.13185282,11339.6712572,14373.2255335,15271.0334789,13802.3627075,15778.4036561,16966.6157539
,,,,Sweden,,3034.63900316,3505.48024228,2358.47683725,1572.72887946,1041.92345735,1104.89223961,1490.80408707,3937.29434991,2317.70984959,2199.87228608,6018.81177596,5243.29042112
,,,,United Kingdom,,22559.2917188,28442.3132391,33937.505053,43484.3584305,43639.7321768,46490.4531673,62965.1710351,61603.9296794,76383.5031538,83167.0923797,58476.4587097,90179.4675976
,,,Other developed Europe,,,14986.7644529,17912.6766757,23567.6287593,24737.6281372,23333.3333333,23352.3723675,34223.8116393,45347.1843565,44801.1644833,48013.3035334,42157.6150494,42705.8695178
,,,,Isle of Man,,11618.6728671,13714.666859,19190.8804269,22996.9070343,,,,,,,,
,,,,Norway,,..,..,..,1595.88193708,2429.65837328,2758.09227239,2862.72767659,3133.87233242,3726.83163513,4452.00085143,4301.41354023,5132.99149029
,,North America,,,,62408.8714005,59206.8070378,67373.433584,74618.5931425,95102.1836719,132401.868393,139714.704576,164041.271035,190429.985444,222851.532567,255748.857477,260930.613136
,,,Canada,,,2430.93066237,2053.50447072,2386.6925378,907.034287734,7232.29095336,27355.8141441,28992.0924034,27756.1342484,33268.4133916,33919.8595147,37974.386226,41193.7595461
,,,United States,,,59977.9407381,57153.3025671,64986.7410462,73711.5588547,87869.8927186,105046.054249,110722.612172,136285.136787,157161.572052,188931.673052,217774.471251,219736.853589
,,Other developed countries,,,,5218.98288917,9673.78136718,14384.3479667,16009.5440085,16087.1947044,17903.6302549,23045.0466459,30651.1234371,30415.2353227,36074.2869306,39157.5087682,36713.2882391
,,,Australia,,,2076.84969892,3795.86097491,8332.6865551,8218.18663839,8518.07045576,8811.35786282,10370.2354509,15547.3347748,14303.1538088,19027.6713495,22995.7487512,20045.4942178
