United Kingdom,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,France,,35800.2219112,51461.5811123,56146.6881307,68203.5464376,81528.4957142,71309.9500612,79330.7035346,61389.4294898,64689.2586744,85853.5256601,82652.9208134,85903.1045551
,,,,Germany,,19504.9784978,22442.7165938,24068.4754015,23493.5558822,35734.5795294,34552.7497723,39599.2395087,44535.7999315,43558.038787,35186.1534753,31667.2052246,30275.4870494
,,,,Greece,,1675.21193969,802.676879038,820.962382076,880.718635504,1076.18716358,1103.20675901,1730.93913465,1526.31694037,1473.74387627,3174.83178714,2190.82266396,2258.11643738
,,,,Hungary,,1718.72393813,2261.35674958,3073.25483029,2908.68917778,4289.25155918,3523.58742423,3746.36132152,3113.86149439,1128.7906393,994.091807118,1556.92196373,1688.45883159
,,,,Ireland,,33407.0619973,48263.7680038,53521.3932089,56124.5676077,46188.2311616,51886.0516976,50810.2758484,44505.1861247,56454.1074537,64071.1738424,69333.2756123,65393.8527475
,,,,Italy,,6188.8565772,8872.96429539,18164.6850538,21867.3166473,18720.490948,15554.8227017,25615.4951107,15648.0286895,18930.3210656,18740.5874378,18101.7302397,24256.9992142
,,,,Latvia,,..,82.2018490581,23.2011107978,48.2850129114,37.8817881582,53.0010364647,..,138.491030883,1.61949876513,-40.70297163,74.2127649048,113.615921378
,,,,Lithuania,,..,38.6832230861,28.5552132896,42.490811362,27.5503913877,11.7780081033,22.0374195384,..,40.4874691283,..,63.3900700228,69.4319519531
,,,,Luxembourg,,92886.5134561,100827.820974,141362.58339,157812.804799,167471.941648,122402.949213,192156.281366,199813.401558,201760.395158,219885.28024,212449.500533,220354.923514
,,,,Malta,,-13.0535995301,-38.6832230861,471.161019278,2951.17998915,-790.351852936,4709.24023996,6537.09999579,..,2375.80468845,1289.97110089,514.851056527,2674.7081491
