Hungary,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Germany,,8.63262924417,41.4410169213,53.9847977251,65.8636524433,50.8940096123,16.8308786765,27.2178668675,131.752727369,164.982905301,100.16612509,129.098005651,111.962146381
,,,,Greece,,,,,,,,,,,,5.73033903939,1.22182591771
,,,,Ireland,,1.54164813461,1.46447424054,,3.03371412724,3.06948974623,4.63203945308,,5.47052312277,0.95176264157,2.54248262641,15.1844191458,76.9186077038
,,,,Italy,,0.510351478336,0.859113519275,0.995974562332,1.30951688946,2.75224602959,3.24084761507,155.530873066,403.405337662,370.64430797,410.68801342,678.598188466,633.495473679
,,,,Latvia,,,,,,0.564435855417,1.02173468323,,1.71442179767,,1.35952072849,,
,,,,Lithuania,,,,,0.75433629153,0.749031229516,1.02568468845,,2.35543611303,16.8256074866,7.83627606039,5.24936430115,5.14245236048
,,,,Luxembourg,,39.6259099237,48.8225831409,58.3001409725,65.0662112208,28.313143815,63.5789359931,317.8492092,1339.03772551,1139.67216462,299.854488378,177.662551936,2192.96521975
,,,,Malta,,,,,,1.3165436745,1.23754453606,0.779555066335,,,,,
,,,,Netherlands,,339.487816192,391.9512655,431.019248115,494.346581602,1320.66358292,1396.00794225,824.401859684,444.679250705,304.448971128,153.02128924,208.318996177,586.441990676
,,,,Poland,,28.6703471992,63.4143119559,74.772377222,406.40120061,218.321895589,350.114593456,355.239175019,277.780011708,325.110336577,370.926824826,338.366420143,355.506264428
,,,,Portugal,,,,,,,,,0.760034058858,34.8546604988,49.1242367601,44.3748961276,24.3543158466
,,,,Romania,,84.212849371,158.806295878,209.186440487,276.255683,370.254064884,565.570570984,860.695243613,836.553328721,807.199707556,680.58023005,596.805658966,826.365830806
,,,,Slovakia,,160.788347576,274.996579943,703.98841919,2241.992629,2456.54246316,3340.2340122,4104.09202827,3326.86940024,2619.65065667,2053.10287084,2057.0363761,1560.10655411
,,,,Slovenia,,5.54650798839,11.2483104459,23.0692276933,25.1395868933,26.0164697022,29.6580914779,35.746648514,75.6748549838,76.6275216675,77.8021375509,104.4117999,95.7504141583
,,,,Spain,,0.498433566283,0.752457718955,1.30534845133,1.76566527262,2.92512669726,7.99454722889,12.6450437402,34.6658400298,31.9216461956,20.4320009585,26.5031826492,7.87328112977
,,,,Sweden,,,,,,,,,1.79933478793,0.537145743606,0.60918284208,1.54116669437,0.968071334812
,,,,United Kingdom,,10.6975178583,12.7209567419,15.1400241054,57.0500581452,113.72838167,631.252973171,2043.48332657,36.7214091852,53.3942893603,64.2776803259,56.6010179491,62.9771782918
,,,Other developed Europe,,,5.24193912483,3.39653672944,3.97380859946,3.98065852793,2.55711925274,500.529634255,532.774422108,638.389505614,1643.78406444,1222.24273185,1429.51636613,2283.0134477
,,,,Liechtenstein,,,,,,,10.2409717149,14.1483749493,14.8536320579,15.5125219333,17.7832398754,17.8474488948,18.3146788576
,,,,Norway,,,,,,,,,,,,,0.900624632236
,,,,Switzerland,,5.24193912483,3.39653672944,3.97380859946,3.98065852793,2.55711925274,490.28866254,518.626047158,623.535873556,1628.24741851,1204.45949197,1411.44478976,2263.79801295
,,North America,,,,55.5154882378,70.2314825013,67.8738313678,19.6483460702,-3.72894488716,189.361114811,208.858959504,918.183444202,996.988211836,1031.24853103,573.525029084,523.946295207
,,,Canada,,,,,,,,,180.461346388,150.201415571,149.516722497,28.8399041457,8.48751038724,32.534128457
,,,United States,,,55.4416854639,70.2314825013,67.8738313678,19.6483460702,-3.72894488716,189.361114811,28.3976131163,767.982028631,847.471489339,1002.40862689,565.037518697,491.41216675
,,Other developed countries,,,,,,,,,,,126.939540205,155.650672622,334.033505871,408.922070799,447.511116643
,,,Australia,,,,,,,,,,0.52374008834,0.693066411443,5.75392283729,7.72866461692,5.77881229349
,,,Israel,,,,,,,,,,117.252200522,144.106199819,314.472369998,391.168065481,432.275720817
,,,Japan,,,,,,,,,,9.16359959555,10.8514063912,13.8072130362,10.0253407013,9.45658353325
,Developing economies,,,,,6.83514326417,23.8125313555,30.7960076808,55.6341430085,844.064478013,632.303965165,695.361985702,1970.95113618,2666.50956027,4245.94179248,7613.19105867,10780.5947042
,,Africa,,,,1.57501828836,1.92944324036,2.5270789294,,,,,1.06551540631,3.78370819376,6.81190031153,2.27728519196,4.12721223917
,,,Other Africa,,,1.57501828836,1.92944324036,2.5270789294,,,,,1.05274333458,3.78370819376,6.81190031153,2.27728519196,4.12721223917
,,,,South Africa,,,,,,,,,,,,,0.569003756846
,,Asia,,,,2.66528653908,18.5533946083,26.7928129761,53.9842881358,843.91573674,630.33600775,686.69798014,617.760837635,982.860275429,1259.98800383,1165.71020027,1155.34361562
,,,East Asia,,,0.660958574347,15.9216784509,8.28562046941,9.78700185257,755.492540931,508.109966131,568.097584149,392.943999787,454.933822513,467.860766834,482.018426957,503.237835514
,,,,China,,0.660958574347,0.607979969799,0.997992492305,1.19629824172,1.36423081281,3.33081993529,3.86511789583,10.4587728168,17.7970702398,32.490328301,36.6879882001,41.1030914769
,,,,"Hong Kong, China",,,,,,,6.61004999478,,,,,2.11146335383,1.09579957453
,,,,"Korea, Republic of",,,15.3136984811,7.28762797711,8.59070361085,754.009506429,498.169096201,563.960141359,382.304901283,436.833551337,434.743144021,443.163889812,459.886149459
,,,,Taiwan Province of China,,,,,,,,,,,,,1.15279500294
,,,South-East Asia,,,,0.506457896607,0.542444800885,-0.931666703644,,,8.61354498581,28.177920281,255.165528792,510.759731608,478.245172013,458.890630516
