Belgium,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,Zambia,,..,..,..,..,..,..,..,,1.44059163026,2.67239313116,1.293894546,2.63879454085
,,,,Zimbabwe,,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,Asia,,,,..,..,..,..,..,..,..,13161.3007379,21521.1297514,32770.303543,28654.7186197,23920.7302348
,,,East Asia,,,..,..,..,..,..,..,..,4292.00079049,11941.1370395,17188.8759216,15348.246812,10804.570384
,,,,China,,..,..,..,..,..,..,..,2022.13915323,2209.88107843,3440.71481351,5131.60908163,5119.27380198
,,,,"Hong Kong, China",,..,..,..,..,..,..,..,2269.86163725,5880.53100532,9054.09070927,5757.85688685,4894.97572303
,,,,"Korea, Republic of",,..,..,..,..,..,..,..,,3637.51611672,4536.39875413,4341.03592256,658.38083175
,,,,"Macao, China",,..,..,..,..,..,..,..,,-8.81200884529e-06,..,-5.87800848022e-06,-6.38800928858e-06
,,,,Mongolia,,..,..,..,..,..,..,..,,,..,,2.63879454085
,,,,Taiwan Province of China,,..,..,..,..,..,..,..,,211.768265013,154.999191599,117.744938585,127.98184505
,,,South-East Asia,,,..,..,..,..,..,..,..,,2866.79482723,4231.74524047,5066.91402516,6637.90369821
,,,,Brunei Darussalam,,..,..,..,..,..,..,..,,4.32179251478,-65.4738031753,-46.5804211424,7.91639639856
,,,,Cambodia,,..,..,..,..,..,..,..,,1.44059163026,1.33619320358,2.58779497001,-6.38800928858e-06
,,,,Indonesia,,..,..,..,..,..,..,..,,299.644891991,1201.24373489,1459.51967828,1647.93118007
,,,,Lao People's Dem. Rep.,,..,..,..,..,..,..,..,,,..,53.0499115064,52.7760121891
