Netherlands,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Finland,,1091.04689387,1539.49087736,2414.854894,2421.81540809,3057.78289506,3418.93399324,5075.79839306,5641.8099885,6857.69028531,5370.45474892,4441.05442533,3969.94405742
,,,,France,,22562.9907728,33407.3715186,37633.5937638,36880.2440885,38255.3177935,47199.9905176,55368.5989442,49867.2318822,47559.2627007,42212.5600121,47042.0789357,45370.4876504
,,,,Germany,,19599.1856807,15530.1910101,40436.1894802,63634.6300534,67357.3418052,79442.8033152,96191.384686,91401.5247458,90301.8778227,71786.1385292,76648.3320977,75233.7977623
,,,,Greece,,942.988833955,1123.15717279,2504.52785293,2254.27699684,1821.45709489,2290.26433522,3215.06487542,2378.13584656,2481.4342618,2008.97659111,1205.91519518,808.000844416
,,,,Hungary,,1580.16727036,1990.43166569,5254.07759363,5186.88024409,5458.47278373,6113.51756418,5726.46628451,3490.52113574,3929.38176632,5835.31870373,4588.30029359,4087.63457885
,,,,Ireland,,12225.3655183,16617.6923997,15745.8137884,15709.1097308,14360.490425,14613.4405196,18106.8214137,16992.5098741,17579.647197,15294.411611,17859.5781626,17422.5511927
,,,,Italy,,6145.29078427,8923.38411136,13084.6740072,17095.7284516,17715.5577681,27232.9418768,31530.894948,27902.8760859,25507.2714307,29812.2238242,24608.9509444,25920.8095841
,,,,Latvia,,11.4568736836,11.5356945851,16.4189924801,38.1388253242,33.0316053478,42.14402457,50.0513762656,89.068758298,117.697056133,42.2239177115,41.0166434412,39.1861937935
,,,,Lithuania,,14.9820655862,14.6817931084,8.84099595082,14.9831099488,,39.5100230343,116.295844853,140.839974059,162.211609799,156.335391527,117.744938585,132.599746675
,,,,Luxembourg,,19259.0046621,22613.1074854,26720.0157622,34839.8169336,20988.046098,30867.863996,47891.8065897,60178.0540146,66052.250578,73866.6018164,76695.9476333,73974.8258391
,,,,Malta,,,,2.52599884309,5.44840361774,-2.35940038199,10.5360061425,14.7209930193,830.844510999,1001.21730737,,,
,,,,Poland,,3962.31569856,4852.33262232,6943.97081966,8259.77988449,7820.2325661,10068.4708699,12788.1266359,12455.8483382,12456.007664,11054.7828608,10104.3271912,10163.4737175
,,,,Portugal,,2078.98192458,2953.1378138,2475.47886623,1878.33714722,1511.19594466,2884.23168151,4535.53794925,3519.05097238,3743.11212914,3733.60983764,3340.98028484,2624.68334389
,,,,Romania,,289.947033992,511.765359777,814.634626897,942.573825869,2510.40200643,3744.23318289,2342.10998937,1189.20709321,1821.06301907,1630.03029165,1756.08165547,1861.9379354
,,,,Slovakia,,472.375714953,578.882128273,1233.95043485,1157.78576877,1631.52536414,1843.80107494,428.380896862,1280.6417404,770.144996435,673.845623478,1016.4881731,1027.5490817
,,,,Slovenia,,47.5900906856,58.7271724335,131.351939841,160.727906723,198.189632087,202.818118243,440.157691277,143.345032886,110.926234054,,,
,,,,Spain,,10398.4348148,12579.1505953,22606.4266463,23836.7658276,28785.8643604,33459.721507,42483.3137544,38353.4248329,38153.006173,26699.4124729,24784.1450618,22645.5298712
,,,,Sweden,,3265.20899981,3636.88989284,8571.97707403,8254.33148088,8281.49534077,9253.24739464,8650.05549814,8188.48062615,7060.81494767,7293.64730468,5583.30971965,6117.13637323
,,,,United Kingdom,,26925.4157523,30930.3432813,81455.8846932,103278.576877,116900.031026,125872.348384,138255.150139,121328.627534,126571.731098,126750.45531,135250.634982,145526.836605
,,,Other developed Europe,,,20478.7210604,31705.3322175,49234.2434507,46171.1343576,44790.8568516,58461.6640832,66730.2613565,64463.6529881,82301.9354467,99005.6000139,96773.7886828,88737.4656956
,,,,Andorra,,22.9137473671,20.9739901548,61.8869716558,72.1913479351,,,,33.5399542966,3.88962119411,8.68529952926,,
,,,,Gibraltar,,37.8958129533,50.3375763715,36.6269832248,28.6041189931,116.790318908,23.7060138206,10.3046951135,12.5252941357,-16.9990852187,-11.2240793917,,
,,,,Guernsey,,113.68743886,177.230216808,650.444702096,,,93.5070545146,176.651916232,204.579804216,,329.106042162,,
,,,,Isle of Man,,324.317655042,325.0968474,108.617950253,,88.4775143245,,,,,,,
,,,,Jersey,,402.753174876,733.040955911,678.23068937,697.395663071,168.697127312,,635.946898434,252.732601671,,456.980375232,,
,,,,Liechtenstein,,35.2519190263,40.8992808019,39.1529820679,24.5178162798,,,,,,11.4913193772,,
,,,,Norway,,1872.75819827,2565.11899593,3962.02918539,3740.32908358,2498.60500452,6469.10777149,2824.9585604,3106.27294564,3834.30213713,2660.64129579,3407.22798655,2917.85412708
,,,,Switzerland,,17669.143114,27792.6343541,43697.2539867,41608.0963278,41918.2868866,51875.3432433,63082.3992863,60854.0023882,78480.7427736,95549.9197612,93366.5606962,85819.6115685
,,North America,,,,94793.2915598,93692.9114205,104448.789162,112899.095565,114859.149696,121709.308957,122584.65307,134291.611115,145241.336589,125560.569275,132205.052164,132187.96179
,,,Canada,,,5897.64605311,7220.29611079,10159.5673469,12106.3528386,11117.4945999,17693.9053155,26697.9929398,34647.607808,34649.7540175,31972.0573871,34040.8380852,32464.7720076
,,,United States,,,88895.6455067,86472.6153098,94289.2218155,100792.742726,103741.655096,104015.403641,95886.6601305,99644.0033067,110591.582572,93588.5118875,98164.2140784,99723.1897826
,,Other developed countries,,,,3660.03049291,8179.85616038,13348.6408863,12239.8387273,15935.3901799,17996.8154921,21915.1423078,24042.0237535,38151.5655725,26934.4500402,25055.6053707,25718.9413131
,,,Australia,,,2572.50879095,6542.83622879,8132.45327534,6085.86684102,5382.9719715,6818.11297496,11457.3488669,10817.5398652,14305.7386319,14508.8596736,12918.1724433,13416.9833228
,,,Bermuda,,,-533.185275273,-442.551192266,2915.00266493,3583.68747957,5880.8054521,5349.65711885,2509.92930979,2834.4740629,12160.6845733,,,
,,,Israel,,,547.286042884,578.882128273,471.098784237,495.804729214,989.768460244,550.506320945,709.551863531,771.836458626,801.406026032,798.245836735,647.338382133,704.164027866
,,,Japan,,,884.823167561,1250.04981323,1385.51036544,1159.14786967,1860.3872012,3350.44995331,4913.86746984,7406.76310215,8787.66269781,10266.5585236,10136.5453117,10623.8125396
,,,New Zealand,,,188.597766791,250.63918235,444.575796384,915.33180778,1821.45709489,1928.08912408,2324.44479775,2211.41026462,2096.07364349,1360.78600625,1353.54923356,973.981422841
,Developing economies,,,,,38795.6181865,49191.3478096,53260.6856066,55773.9457339,56728.7149644,72714.9049028,91081.875229,84056.9706145,95965.8865915,107739.804461,109699.206968,118185.692421
,,Africa,,,,5017.22937542,6620.43999237,5925.9932859,3102.8658603,2106.59063106,2589.48690967,3432.49394231,3359.56222705,2931.18971988,3165.32400844,2797.02454658,3123.0208993
,,,North Africa,,,1106.02895945,1216.49142898,1774.51418727,1830.66361556,1047.5737696,1224.81071406,1321.94517313,1277.58000184,634.584494817,672.643043543,572.550937625,700.865526705
,,,,Egypt,,957.970899541,1034.01771463,1448.66033651,1590.93385638,848.204437324,965.361562806,287.059363876,318.699150785,247.207035893,307.459603336,293.456616166,385.00105552
,,,,Libya,,,,,,,,,,0.864360265359,14.6981992034,5.43438178085,7.52058264725
