United States,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Côte d' Ivoire,,136.0,184.0,215.0,207.0,260.0,258.0,102.0,-23.0,16.0,-1.0,-13.0,118.0
,,,,Equatorial Guinea,,2316.0,3080.0,3188.0,1448.0,1774.0,2864.0,2984.0,3186.0,2065.0,1978.0,2018.0,2288.0
,,,,Eritrea,,-17.0,-32.0,-53.0,4.0,,,,,7.0,7.0,7.0,7.0
,,,,Ethiopia,,40.0,50.0,50.0,7.0,6.0,2.0,2.0,2.0,3.0,6.0,9.0,11.0
,,,,Gabon,,555.0,344.0,370.0,483.0,121.0,113.0,249.0,-87.0,-78.0,586.0,63.0,157.0
,,,,Ghana,,297.0,266.0,250.0,223.0,220.0,974.0,..,..,1518.0,2874.0,3169.0,3629.0
,,,,Guinea,,130.0,,,..,..,..,..,..,..,..,41.0,..
,,,,Kenya,,..,73.0,90.0,178.0,246.0,166.0,189.0,196.0,309.0,308.0,390.0,259.0
,,,,Liberia,,-547.0,-1344.0,273.0,403.0,390.0,556.0,703.0,797.0,694.0,851.0,1039.0,1019.0
,,,,Madagascar,,,,,6.0,-5.0,-17.0,-29.0,-38.0,47.0,47.0,47.0,47.0
,,,,Malawi,,-8.0,-10.0,8.0,10.0,5.0,5.0,3.0,1.0,,-3.0,..,2.0
,,,,Mali,,2.0,-5.0,,-4.0,,,,,1.0,1.0,1.0,1.0
,,,,Mauritania,,1.0,1.0,1.0,1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,
,,,,Mauritius,,124.0,,10.0,373.0,624.0,1272.0,2973.0,2470.0,5238.0,7885.0,7241.0,7062.0
,,,,Mozambique,,8.0,12.0,13.0,..,,6.0,5.0,5.0,28.0,121.0,..,619.0
,,,,Namibia,,,,,3.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0
,,,,Niger,,-14.0,-15.0,-16.0,2.0,,,,,,,,
,,,,Nigeria,,260.0,901.0,1100.0,1936.0,1105.0,1677.0,1584.0,3254.0,4938.0,5058.0,5307.0,8152.0
,,,,Rwanda,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
,,,,Senegal,,33.0,39.0,38.0,30.0,17.0,19.0,18.0,18.0,23.0,-31.0,-43.0,-59.0
,,,,Seychelles,,,4.0,,..,..,,,..,,,,
,,,,Sierra Leone,,11.0,12.0,15.0,7.0,1.0,1.0,1.0,1.0,..,..,..,..
,,,,South Africa,,3070.0,3334.0,3580.0,3913.0,3969.0,3980.0,5240.0,4999.0,5447.0,6017.0,5830.0,5502.0
,,,,Swaziland,,45.0,,65.0,..,..,..,..,..,..,..,..,..
,,,,Togo,,7.0,8.0,3.0,3.0,5.0,-11.0,-11.0,-10.0,,,,
,,,,Uganda,,2.0,4.0,4.0,7.0,9.0,10.0,..,..,81.0,91.0,104.0,100.0
,,,,United Rep. of Tanzania,,21.0,22.0,18.0,22.0,21.0,..,..,..,..,..,..,319.0
,,,,Zambia,,48.0,44.0,45.0,36.0,35.0,74.0,76.0,79.0,118.0,131.0,130.0,144.0
,,,,Zimbabwe,,117.0,146.0,140.0,109.0,..,73.0,..,..,..,..,..,..
,,Asia,,,,146820.00003,161203.0,162261.0,176403.00003,226879.00002,260612.0,289119.00004,309566.00003,323150.0,348277.00001,360819.00001,409611.00001
,,,East Asia,,,63856.0,72899.0,72733.0,68138.00001,89547.00001,110652.0,111306.0,137152.0,149628.0,149616.0,142037.0,152054.00001
,,,,China,,12081.0,10570.0,11261.0,17616.0,19016.0,26459.0,29710.0,53927.0,54069.0,58996.0,55304.0,51363.0
,,,,"Hong Kong, China",,32494.0,40329.0,36426.0,32735.0,36415.0,39636.0,40720.0,40042.0,50720.0,41264.0,39998.0,47767.0
,,,,"Korea, Republic of",,9977.0,11856.0,13063.0,17747.0,19760.0,27299.0,23558.0,22426.0,23930.0,26233.0,30160.0,35125.0
,,,,"Macao, China",,3.0,,,40.0,..,259.0,1511.0,2707.0,1013.0,938.0,849.0,1317.0
,,,,Mongolia,,,,,,,,,-3.0,2.0,-3.0,6.0,..
,,,,Taiwan Province of China,,9301.0,10144.0,11983.0,..,14356.0,16999.0,15807.0,18053.0,19894.0,22188.0,15720.0,16482.0
,,,South-East Asia,,,70532.00001,71943.0,71578.0,83854.00002,113096.00001,120423.0,138335.0,126853.0,122284.0,144467.0,163343.0,189802.0
,,,,Brunei Darussalam,,-17.0,-33.0,-27.0,-6.0,-25.0,27.0,28.0,27.0,60.0,103.0,99.0,116.0
,,,,Cambodia,,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,25.0,30.0,37.0,54.0
,,,,Indonesia,,10511.0,,,..,8603.0,9484.0,14978.0,16273.0,9743.0,10558.0,11972.0,13480.0
,,,,Lao People's Dem. Rep.,,,,,-3.0,-3.0,-3.0,-3.0,-3.0,,,,
