Czech Republic,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13,_unnamed_14,_unnamed_15,_unnamed_16,_unnamed_17
"Table 4. FDI stock abroad, by geographical destination",,,,,,,,,,,,,,,,,
(Millions of US dollars),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region / economy,,,,,,2001.0,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
,,,,,,,,,,,,,,,,,
,,,,Hungary,,49.7539775228,8.30532364553,8.14255110314,18.159085446,18.6663970229,17.5298428818,46.8845558137,39.676418898,75.5744229094,71.8770198923,72.4013540622,75.2058264725
,,,,Ireland,,4.28335034061,2.33320062374,0.593981445389,-1.50154258887,,,,,,449.765132526,433.252507523,1175.58581381
,,,,Italy,,11.5238996111,0.658730632693,1.19379434006,1.94902302705,0.659012526436,6.73955738647,12.1708153557,13.3726351701,9.56402439024,10.160524772,14.9820461384,11.8746041799
,,,,Latvia,,,,,..,,0.881586510826,7.01272264631,2.24956063269,,3.41053810463,6.76544633902,9.235803251
,,,,Lithuania,,,,,0.797544422088,1.08641410444,1.30221306764,3.89965704171,2.34849581309,,,3.29067201605,
,,,,Luxembourg,,14.799424336,51.8126389967,176.647929991,205.17631831,,,94.2915698639,237.979220511,362.432382404,484.002826516,79.3635907723,94.9968334389
,,,,Malta,,,-45.3710228592,-45.3708388555,,,,4.36508463326,20.4779282539,-2.07572952962,,17.4827983952,
,,,,Netherlands,,37.4920881161,53.5213356544,326.906152009,431.116573083,739.716281031,1088.69457751,2881.24637681,5449.31065853,6069.48807709,6934.16676444,6495.69658977,8442.84357188
,,,,Poland,,60.3114745029,30.9286111609,46.6986558565,86.9063470614,70.8728993425,145.943858977,544.181657263,509.586167683,538.061737805,556.083408885,536.188766299,145.134051087
,,,,Portugal,,,..,17.8204178686,..,166.831828534,198.208133742,229.849374931,,,,,
