country,Luxembourg,Netherlands Antilles,Liechtenstein,Slovenia,Greece,Netherlands,United Kingdom,Romania,Lithuania,Belgium,Bahamas,Italy,Czech Republic,Croatia,Turkey,Slovakia,Estonia,Finland,Spain,Malta,Ireland,Austria,Cyprus,Latvia,Gibraltar,Poland,British Virgin Islands,Jersey,Bulgaria,France,Guernsey,Cayman Islands,Isle of Man,Portugal,United States,Sweden,Singapore,Germany,Switzerland,Indonesia,Hungary
Hungary,50141.1241524,,17.8474488948,104.4117999,5.73033903939,211.652227023,266.55806465,629.223159382,5.24936430115,19.7632624231,,1812.25007894,332.040202759,3770.70267991,92.5856365298,2059.13869869,0.0961027089912,0.429861226525,233.464218049,65.0359980057,316.684016121,157.753307296,4559.22922137,0.00138773475154,,682.105787768,,69.3471746718,1074.44102543,165.205929034,12.9271231511,,,44.3748961276,18059.7983754,1.54116669437,436.539425794,129.098005651,63227.0472578,,
Switzerland,115006.281548,,,,4990.01682557,98427.3696018,89484.3522154,2904.20639372,,17570.0504767,,26656.8704431,3544.02692092,643.185642176,2534.38025799,492.652832305,,1278.07066741,15211.5535614,,27440.8300617,9389.90465508,,,,6524.39708357,,,495.344924285,25878.6315199,,,,3161.86203029,201777.005048,8434.66068424,23971.9573752,59692.3163208,,1375.88334268,18539.091419
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,7.80610125806,,,0.73881714211,31.9619282739,-57.6536150931,62.2896603123,111.892626967,-0.837153574335,11.4329041466,,236.307622238,30.4933512927,3.1467658312,80.3059298163,3.02902089261,1.87615561482,,21.2341998584,173.037185404,2.71201528873,65.3057422007,48.0179386355,13.869318645,,2.65637757049,9.31478915246,,,32.6515771999,,6.00111016656,7.52920656732,,78.352140176,,,61.7190502253,46.1521342241,,2.52828142852
Romania,,,,1.29390042401,1.29390042401,2.58780084802,1.29390042401,,,1.29390042401,,37.5231122963,-6.46950212006,,7.76340254407,10.3512033921,,,16.8207055121,,,32.3475106003,208.317968266,,,,,,,,,,,,1.29390042401,,,,6.46950212006,,125.508341129
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,3831.21876384,,,0.0828096,4.13020471688,27039.6491808,1500.50102331,492.538979292,0.06534195,282.042721705,,1441.8980051,20.1063338555,,114.139506245,4.41027096801,0.560662686332,2.72726142216,8172.1967502,240.334729563,1578.76827768,18.2568157901,-10.4078795155,0.422676071644,,1807.44372274,,,14.269115185,572.94251545,,,,,1411.15197315,-0.116795603524,,2442.71272412,88.7344625677,,487.623329707
Estonia,5.4628458,,,0.0025878,1.2188538,89.7914844,-7.6327161,29.3210679,1045.9861722,3.4301289,,105.6870459,0.918669,11.4652479,2.5334562,12.4874289,,394.8232338,73.6022076,11.5234734,0.4606284,1.3469499,815.5982199,940.8360948,,44.2720824,2.6744913,,60.7149636,19.0112727,,,12.5870592,24.7225473,93.7870476,115.0186527,8.0493519,36.4685715,12.0565602,,0.6573012
Sweden,16196.2629034,,,,69.2538873644,31174.9931036,25407.7558546,411.748479173,2817.63142994,16449.7582647,,4309.56632838,1433.42480073,245.945671269,394.471303919,328.992261568,4675.43592201,42521.16091,5407.3202956,-131.103271048,2699.88530279,-313.457322473,2017.50947341,2995.62989097,,4465.06090567,,,,7074.78548717,,,,678.020238977,59314.430071,,,16555.5991115,7079.57663661,299.519433193,637.368061907
United Kingdom,212449.500533,,,494.752,2192.3698,220939.2361,,819.433,64.9362,58793.5168965,701.9294,17673.4691,681.8301,,,425.177298934,137.6029,2370.17017915,58108.6224,514.851056527,66253.4772,1544.55316958,1023.5182,75.7589,,5886.0027,1719.2632,29159.446,136.0568,85044.7766,13817.4957,,19810.1793,4659.94319631,330013.4989,36038.0278576,13477.3537,32154.2417,31889.8586,8437.06371011,1556.92196373
Austria,1907.15174603,,873.858410653,3388.57909651,583.797330094,12140.0479446,5166.49174104,9605.08597886,64.7372548923,2510.34922789,,3942.84616613,14022.5419561,7826.86427596,6617.89038065,6853.24372078,264.956077121,977.798481941,875.490388608,1303.17310829,118.830075815,,3722.68346042,218.974582027,,5049.68754775,4790.57980417,1067.1421372,5412.37074935,2517.70266861,482.482672479,1957.35807823,-492.355645745,240.433926466,5982.88690242,959.643168084,957.318640504,26133.5960175,4629.00766718,125.082110042,8910.86235512
Greece,130.42512,,,15.00924,,7577.33718,-74.91681,4031.14545,,,,40.62846,4.14048,66.24768,6309.31518,-2.5878,,,182.95746,0.25878,14.36229,401.88534,12010.49736,,,1196.72811,728.59509,573.97404,2621.506095,20.44362,42.43992,2266.00707,,9.96303,2981.27499,4.01109,-2.07024,492.32895,1.2939,10.60998,267.96669
British Virgin Islands,,,,32.2181205579,,126.802241553,,245.841080562,82.4642241702,3374.49229994,,6.63770917518,202.972556269,166.290788593,42.0,32.3475106003,105.194104472,329.159210565,,,,,,57.1691176471,,49.5113243987,,,1157.55825463,291.127595403,,,,,51012.0,,40769.7393711,1045.4715426,,,
Cyprus,459.522461359,,,,-1466.93202042,,2863.24730865,1124.11445943,7.02193998577,,552.607193651,,30.8104358333,,,,12.8451599154,,,135.669567332,,,,71.0133306741,,102.658706242,2869.32370392,,215.211748052,20.4263677843,443.675002416,0.081384822015,,,1547.15328193,4.35882576733,3.881701272,35.9883580991,1921.64577268,,
