country,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Turkey,Singapore,Indonesia,United States,Bahamas,British Virgin Islands,Cayman Islands,Netherlands Antilles,Gibraltar,Guernsey,Isle of Man,Jersey,Liechtenstein,Switzerland
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,697.15332,165182.89692,636.98697,995.26788,228.63213,9539.79531,C ,960.33258,,77087.9742,4046.0253,3685.54476,23818.1112,52448.75406,C ,158.89092,48630.32577,1199.57469,119941.9422,15554.48946,5202.12495,5307.31902,1478.9277,567.11637,49336.66578,6967.91028,111067.98783,4174.25079,9765.360897,2467.20852,225596.790657,1082.766906,945.985181689,C ,C ,C ,240.01845,C ,1684.39902,C ,52065.75966
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,18.2568157901,282.042721705,14.269115185,C ,-10.4078795155,20.1063338555,0.560662686332,2.72726142216,572.94251545,2442.71272412,4.13020471688,487.623329707,1578.76827768,1441.8980051,0.422676071644,0.06534195,3831.21876384,240.334729563,27039.6491808,1807.44372274,,492.538979292,4.41027096801,0.0828096,8172.1967502,-0.116795603524,1500.50102331,114.139506245,C ,C ,1411.15197315,C ,C ,C ,,C ,C ,C ,C ,C ,88.7344625677
United States,12556.0,50984.0,C ,-37.0,1934.0,5840.0,60.0,2123.0,76283.0,119648.0,1440.0,6305.0,184804.0,26896.0,-3.0,C ,357898.0,1116.0,595658.0,12744.0,2421.0,1357.0,C ,C ,45351.0,33422.0,485029.0,4027.0,119395.0,12046.0,,29785.0,,193688.0,,34878.0,,,,267.0,107341.0
Sweden,-313.457322473,16449.7582647,C ,245.945671269,2017.50947341,1433.42480073,4675.43592201,42521.16091,7074.78548717,16555.5991115,69.2538873644,637.368061907,2699.88530279,4309.56632838,2995.62989097,2817.63142994,16196.2629034,-131.103271048,31174.9931036,4465.06090567,678.020238977,411.748479173,328.992261568,C ,5407.3202956,,25407.7558546,394.471303919,C ,299.519433193,59314.430071,,C ,C ,,C ,C ,C ,C ,C ,7079.57663661
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,42709.82754,56288.66109,2218.00338,2909.46354,1413.58575,18859.75701,122.27355,7010.60898,49690.9356,,3565.08267,12270.18309,9101.42199,42156.5559,532.69863,1368.42864,104165.29011,24806.78019,116500.42698,22551.77127,2977.78146,7370.44257,6502.49445,659.50083,33528.05436,20568.61074,127754.76918,8128.92675,13513.75038,2086.93131,223922.07522,59.26062,151.90386,583.5489,,175.71162,937.43055,556.24761,809.59323,450.2772,34923.78429
Switzerland,9389.90465508,17570.0504767,495.344924285,643.185642176,C ,3544.02692092,C ,1278.07066741,25878.6315199,59692.3163208,4990.01682557,18539.091419,27440.8300617,26656.8704431,C ,C ,115006.281548,C ,98427.3696018,6524.39708357,3161.86203029,2904.20639372,492.652832305,C ,15211.5535614,8434.66068424,89484.3522154,2534.38025799,23971.9573752,1375.88334268,201777.005048,C ,C ,C ,,C ,C ,C ,C ,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,..,,,,,,,,,..,,,,,,,,,
Hungary,157.753307296,19.7632624231,1074.44102543,3770.70267991,4559.22922137,332.040202759,0.0961027089912,0.429861226525,165.205929034,129.098005651,5.73033903939,,316.684016121,1812.25007894,0.00138773475154,5.24936430115,50141.1241524,65.0359980057,211.652227023,682.105787768,44.3748961276,629.223159382,2059.13869869,104.4117999,233.464218049,1.54116669437,266.55806465,92.5856365298,436.539425794,,18059.7983754,,,,,,12.9271231511,,69.3471746718,17.8474488948,63227.0472578
